,btc_row_id,btc_id,btc_dt,btc_low,btc_high,btc_open,btc_close,btc_volume,btc_macd,btc_macd_single,btc_rsi,btc_bollinger_bands_sma,btc_bollinger_bands_lower_band,btc_bollinger_bands_upper_band,btc_obv,btc_ichimoku_chikou_span,btc_ichimoku_kijun_sen,btc_ichimoku_tenkan_sen,btc_ichimoku_senkou_span_a,btc_ichimoku_senkou_span_b,btc_stoch_oscillator,btc_stoch_signal,btc_stoch_percent_j,btc_aroon_up,btc_aroon_down,btc_aroon_oscillator,btc_sma5,btc_sma10,btc_sma30,btc_ema5,btc_ema10,btc_ema30,target
45,45,BTC_USDT,2020-12-15,19061.58,19563.19,19277.21,19426.77,18906878.0,587.7883,690.86,60.836826,18674.08,17213.484,20134.674,136623360.0,38181.9,18052.61,18581.594,17095.803,18746.48,65.721924,77.98482,102.510605,44.0,24.0,20.0,18941.092,18837.707,18515.803,19091.998,18917.787,18079.232,21329.05
46,46,BTC_USDT,2020-12-16,19285.39,21539.99,19423.38,21329.05,43585088.0,740.7542,700.8388,70.75015,18883.232,17179.959,20586.504,180208448.0,35438.7,18879.814,19569.996,17095.803,18746.48,76.69948,86.59131,106.37496,100.0,20.0,80.0,19602.822,19034.045,18669.723,19837.682,19356.197,18288.898,22800.28
47,47,BTC_USDT,2020-12-17,21238.0,23765.0,21327.98,22800.28,83772184.0,969.5206,754.5752,75.84314,19166.463,16921.895,21411.033,263980640.0,34063.08,19992.32,20682.5,17095.803,18746.48,84.93372,90.22503,100.807655,100.0,16.0,84.0,20401.592,19396.098,18841.307,20825.215,19982.395,18579.955,23102.46
48,48,BTC_USDT,2020-12-18,22359.9,23265.3,22800.53,23102.46,35293008.0,1161.8105,836.0222,76.73901,19435.21,16708.768,22161.654,299273632.0,37369.23,19992.32,20682.5,17095.803,18746.48,88.74445,89.41702,90.76215,96.0,12.0,84.0,21187.467,19873.344,19018.781,21584.297,20549.68,18871.73,23821.7
49,49,BTC_USDT,2020-12-19,22750.0,24154.0,23110.0,23821.7,37511960.0,1356.6001,940.1378,78.75826,19717.568,16454.904,22980.234,336785600.0,39158.75,20186.82,20877.0,17095.803,18746.48,89.71787,89.51156,89.09893,100.0,8.0,92.0,22096.053,20400.018,19219.408,22330.098,21144.592,19191.084,23488.58
50,50,BTC_USDT,2020-12-20,23079.04,24285.45,23827.49,23488.58,30337384.0,1467.1797,1045.5461,75.48968,19907.611,16254.606,23560.615,306448224.0,36745.86,20252.545,21152.145,17095.803,18746.48,89.89436,90.754524,92.47483,100.0,4.0,96.0,22908.414,20924.754,19380.494,22716.258,21570.771,19468.342,22713.86
51,51,BTC_USDT,2020-12-21,21950.0,24106.34,23466.39,22713.86,46467204.0,1475.2949,1131.496,68.38189,20105.133,16297.04,23913.225,259981008.0,36011.1,20252.545,21503.02,17095.803,18746.48,88.92233,86.50091,81.65807,96.0,4.0,96.0,23185.375,21394.1,19514.117,22715.459,21778.605,19677.729,23808.33
52,52,BTC_USDT,2020-12-22,22300.15,23822.93,22727.08,23808.33,30773324.0,1552.1488,1215.6265,72.34363,20334.281,16225.817,24442.744,290754336.0,35835.93,20381.725,21643.965,17095.803,18746.48,87.68917,85.81208,82.05791,92.0,4.0,92.0,23386.986,21894.29,19693.766,23079.75,22147.646,19944.219,23235.17
53,53,BTC_USDT,2020-12-23,22630.7,24110.14,23810.95,23235.17,48179588.0,1548.9514,1282.2915,67.56885,20524.598,16252.17,24797.025,242574752.0,36610.62,20584.738,21673.516,17095.803,18746.48,85.62053,84.54859,82.40472,88.0,4.0,88.0,23413.527,22300.496,19855.85,23131.557,22345.379,20156.54,23738.86
54,54,BTC_USDT,2020-12-24,22717.0,23800.0,23235.17,23738.86,33173000.0,1568.9749,1339.6282,69.47551,20778.463,16377.557,25179.37,275747744.0,35894.65,20905.09,21785.42,17115.828,18746.48,86.67329,89.659195,95.631004,84.0,4.0,84.0,23396.959,22746.506,20008.549,23333.99,22598.738,20387.656,24690.6
55,55,BTC_USDT,2020-12-25,23437.17,24779.94,23750.23,24690.6,35928196.0,1642.705,1400.2435,72.73705,21055.299,16408.305,25702.291,311675936.0,35482.96,21189.969,23008.969,17176.973,18746.48,88.60181,91.597626,97.58927,100.0,44.0,56.0,23637.363,23272.889,20207.016,23786.193,22979.076,20665.266,26449.61
56,56,BTC_USDT,2020-12-26,24470.21,26850.0,24712.36,26449.61,44946740.0,1822.0703,1484.6089,77.51828,21409.494,16277.101,26541.889,356622688.0,30841.82,22225.0,24400.0,17502.49,18746.48,92.14978,95.192535,101.27803,100.0,40.0,60.0,24384.514,23784.945,20517.137,24673.998,23610.082,21038.45,26289.03
57,57,BTC_USDT,2020-12-27,25821.82,28400.11,26457.13,26289.03,66899496.0,1929.0247,1573.4921,76.2044,21764.959,16324.033,27205.885,289723200.0,32969.66,23000.055,25175.055,17586.95,18746.48,92.406654,90.42982,86.47613,100.0,36.0,64.0,24880.654,24133.82,20822.248,25212.342,24097.164,21377.195,27076.17
58,58,BTC_USDT,2020-12-28,26125.02,27489.84,26288.74,27076.17,38104932.0,2053.6294,1669.5195,78.15863,22202.268,16534.754,27869.781,327828128.0,32074.95,23000.055,25175.055,17586.95,18746.48,90.58897,86.14455,77.25572,96.0,32.0,64.0,25648.854,24531.191,21133.871,25833.62,24638.8,21744.871,27370.0
59,59,BTC_USDT,2020-12-29,25856.2,27397.22,27072.6,27370.0,41314240.0,2151.2903,1765.8737,78.856674,22643.02,16809.992,28476.047,369142368.0,32220.31,23000.055,25175.055,17673.814,18746.48,86.86449,84.01909,78.32829,92.0,28.0,64.0,26375.082,24886.021,21440.387,26345.746,25135.383,22107.783,28884.25
60,60,BTC_USDT,2020-12-30,27357.52,29197.78,27370.0,28884.25,68648320.0,2324.0842,1877.5157,82.04195,23175.17,17108.3,29242.04,437790688.0,32275.9,23398.89,25748.965,17703.092,18746.48,86.78591,90.1941,97.010475,100.0,24.0,76.0,27213.812,25425.588,21746.938,27191.914,25816.996,22544.975,28920.32
61,61,BTC_USDT,2020-12-31,27911.57,29433.7,28886.28,28920.32,48781800.0,2435.8562,1989.1838,82.11108,23720.166,17645.148,29795.184,486572480.0,32490.94,23516.85,26032.2,17832.465,18746.48,88.948784,92.63317,100.001945,100.0,20.0,80.0,27707.953,26046.234,22085.5,27768.049,26381.236,22956.287,29330.13
62,62,BTC_USDT,2021-01-01,28656.9,29599.0,28917.89,29330.13,28527344.0,2528.3591,2097.0188,82.9158,24246.352,18141.95,30350.754,515099840.0,30363.05,23599.5,26158.0,17983.062,18746.48,92.68532,95.228676,100.3154,100.0,16.0,84.0,28316.174,26598.414,22422.324,28288.742,26917.398,23367.504,32184.51
63,63,BTC_USDT,2021-01-02,28963.7,33242.72,29322.31,32184.51,75231128.0,2799.7195,2237.559,87.22604,24896.922,18337.5,31456.346,590330940.0,33350.57,25421.36,28339.945,18188.885,18746.48,93.75997,93.418076,92.73428,100.0,12.0,88.0,29337.842,27493.348,22847.516,29587.332,27875.055,23936.342,33012.98
64,64,BTC_USDT,2021-01-03,31993.0,34774.11,32202.54,33012.98,74159600.0,3046.5068,2399.3486,88.15977,25583.633,18655.35,32511.916,664490560.0,34258.12,26187.055,29622.16,18392.127,18746.48,93.25794,91.12708,86.86535,100.0,8.0,92.0,30466.438,28420.76,23325.895,30729.215,28809.223,24521.932,31996.26
65,65,BTC_USDT,2021-01-04,27973.97,33563.78,33026.02,31996.26,106105840.0,3124.035,2544.286,80.39333,26212.107,19351.777,33072.438,558384700.0,34291.45,26187.055,30297.965,18283.172,18746.48,89.80695,84.87571,75.01322,96.0,4.0,92.0,31088.84,29151.326,23753.975,31151.562,29388.686,25004.146,33945.29
66,66,BTC_USDT,2021-01-05,29919.29,34384.97,32004.61,33945.29,73043152.0,3304.6528,2696.3591,83.41042,26842.92,19585.922,34099.918,631427840.0,33103.96,26187.055,30315.154,18231.365,18746.48,87.24233,85.7242,82.68793,92.0,4.0,92.0,32093.834,29900.895,24239.96,32082.805,30217.158,25580.994,36755.11
67,67,BTC_USDT,2021-01-06,33294.72,36925.0,33966.56,36755.11,79778432.0,3632.648,2883.617,86.609505,27540.66,19349.303,35732.02,711206270.0,33537.99,27471.92,31390.6,18236.598,18746.48,86.83439,89.90327,96.041016,100.0,4.0,100.0,33578.83,30947.502,24825.807,33640.24,31405.877,26301.904,39430.38
68,68,BTC_USDT,2021-01-07,36300.0,40311.35,36780.0,39430.38,121815392.0,4061.6384,3119.2212,88.82007,28357.057,18935.49,37778.62,833021700.0,35489.92,29515.97,33834.438,18305.312,18746.48,90.4045,95.58605,105.94915,100.0,4.0,100.0,35028.004,32182.922,25529.152,35570.285,32864.88,27148.904,40600.0
69,69,BTC_USDT,2021-01-08,36596.8,41888.0,39426.44,40600.0,135282224.0,4444.7583,3384.3286,89.62637,29195.973,18621.719,39770.227,968303940.0,37633.95,30445.24,34899.785,18281.533,18746.48,93.62852,95.39623,98.931656,100.0,4.0,100.0,36545.406,33505.92,26263.986,37246.86,34271.26,28016.717,40091.1
70,70,BTC_USDT,2021-01-09,38750.0,41352.32,40594.55,40091.1,87561840.0,4653.6753,3638.198,86.69661,30026.098,18788.469,41263.727,880742080.0,36971.58,30474.79,34930.984,18281.533,18746.48,94.349655,92.06669,87.500755,96.0,4.0,96.0,38164.375,34626.61,26992.316,38194.938,35329.414,28795.709,38181.9
71,71,BTC_USDT,2021-01-10,35135.5,41292.9,40093.11,38181.9,94618352.0,4612.0225,3832.963,76.582405,30799.5,19552.219,42046.78,786123710.0,38271.81,30586.695,34930.984,18317.102,18746.48,91.18806,86.10124,75.92761,92.0,4.0,92.0,39011.7,35552.766,27664.365,38190.594,35848.047,29401.27,35438.7
72,72,BTC_USDT,2021-01-11,30313.0,38244.94,38181.9,35438.7,214401456.0,4307.999,3927.9702,64.87189,31381.018,20441.281,42320.754,571722240.0,39200.0,31563.0,34930.984,19224.904,18746.48,84.44157,75.15676,56.587154,88.0,4.0,88.0,38748.414,36163.62,28218.775,37273.293,35773.62,29790.781,34063.08
73,73,BTC_USDT,2021-01-12,32551.48,36600.0,35410.25,34063.08,123543928.0,3910.9736,3924.5708,59.923428,31922.414,21594.146,42250.684,448178336.0,38814.4,31919.0,34930.984,20337.41,18746.48,74.064095,60.934288,34.674667,84.0,12.0,72.0,37674.957,36351.48,28715.107,36203.223,35462.613,30066.412,37369.23
74,74,BTC_USDT,2021-01-13,32400.0,37777.0,34050.3,37369.23,100105464.0,3819.0833,3903.4734,66.53129,32603.932,22737.084,42470.78,548283780.0,46359.36,31919.0,35903.645,20337.41,18746.48,64.65131,57.862896,44.28606,80.0,8.0,72.0,37028.8,36787.105,29318.123,36591.89,35809.27,30537.562,39158.75
75,75,BTC_USDT,2021-01-14,36760.59,40080.0,37369.23,39158.75,90227200.0,3846.3206,3892.0427,69.46592,33327.34,23770.646,42884.03,638510980.0,46453.22,31919.0,36100.5,20531.91,18746.48,61.177036,64.733925,71.8477,76.0,4.0,72.0,36842.332,37503.35,29975.855,37447.51,36418.266,31093.768,36745.86
76,76,BTC_USDT,2021-01-15,34444.0,39710.34,39156.0,36745.86,114048536.0,3631.3464,3839.9036,61.62035,33842.152,24723.66,42960.645,524462464.0,44816.95,31919.0,36100.5,20702.344,18746.48,64.32083,70.36568,82.45537,72.0,4.0,72.0,36555.125,37783.41,30489.75,37213.63,36477.83,31458.42,36011.1
77,77,BTC_USDT,2021-01-16,35253.3,37950.41,36757.87,36011.1,73372760.0,3362.9233,3744.5076,59.419586,34328.258,25858.744,42797.77,451089696.0,47974.24,32094.074,36100.5,20877.781,18746.48,67.38777,67.06372,66.41563,68.0,4.0,68.0,36669.605,37709.008,30930.111,36812.785,36392.97,31752.14,35835.93
78,78,BTC_USDT,2021-01-17,33872.68,36850.0,36001.8,35835.93,46710744.0,3100.3225,3615.6704,58.879677,34766.242,26962.31,42570.176,404378976.0,47340.41,32259.35,35832.66,21012.844,18746.48,65.510925,59.103363,46.28825,64.0,4.0,64.0,37024.176,37349.566,31354.559,36487.168,36291.69,32015.611,36610.62
